entity,year,cost_per_kg,launch_class
Scout,1961,118500,Small
Kosmos,1962,14900,Small
Atlas Centaur,1963,29500,Medium
Titan II,1964,30600,Medium
Delta E,1965,177900,Medium
Proton,1965,8200,Heavy
Titan III+,1965,21000,Medium
R-36 / Cyclone,1966,8400,Medium
Soyuz,1966,17900,Medium
Saturn V,1967,5400,Heavy
Delta 3000-Series,1975,21400,Small
Long March 2A,1975,17500,Medium
Delta 3910,1980,32800,Small
Space Shuttle,1981,65400,Heavy
Long March 2C,1982,8300,Medium
Zenit 2,1985,5100,Medium
Ariane 44,1988,18300,Medium
Shavit,1988,31100,Small
Titan IV,1989,30800,Heavy
Delta II,1990,38800,Medium
Long March 2E,1990,9900,Medium
Pegasus,1990,41100,Small
Atlas II,1991,18700,Medium
Long March 2D,1992,9100,Medium
Start,1993,23600,Small
H-II,1994,10500,Medium
Long March 3A,1994,8700,Medium
PSLV,1994,8500,Medium
Rokot,1994,20600,Small
Taurus,1994,34600,Small
Pegasus XL,1996,50600,Small
Ariane 5G,1997,10200,Heavy
Athena 1,1997,19200,Small
Long March 3B,1997,6200,Medium
M-V,1997,45800,Small
Shtil,1998,19100,Small
Delta III,1999,18000,Medium
Dnepr,1999,9600,Medium
Long March 4B,1999,7600,Medium
Zenit 3SL,1999,8900,Medium
Atlas III,2000,16000,Medium
Minotaur I,2000,73100,Small
GSLV,2001,10000,Medium
Atlas V,2002,8100,Medium
Delta IV,2002,10400,Medium
Strela,2003,11200,Small
Delta IV Heavy,2004,11600,Heavy
Falcon 1,2008,12600,Small
Falcon 9,2010,2600,Medium
Minotaur IV,2010,30500,Small
Vega,2012,20000,Small
Antares,2013,13600,Medium
Epsilon,2013,34500,Small
Kuaizhou,2013,10600,Small
Angara,2014,4500,Heavy
Long March 11,2015,10600,Small
Long March 5,2016,7900,Heavy
LVM3,2017,8000,Medium
Electron,2018,23100,Small
Falcon Heavy,2018,1500,Heavy
Shian Quxian,2019,17300,Small
